DEBUG: Starting main...
DEBUG: Loading tokens...
DEBUG: Loaded tokens from data/tinystories/train_tokens.npy, shape=(64064,)
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47616.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50720.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41280.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=31232.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47072.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51904.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49248.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44064.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44640.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41632.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47616.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51744.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43360.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52320.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45696.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47808.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46240.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=61408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=37696.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46528.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49344.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=27472.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39168.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45920.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47488.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43456.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48640.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44960.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53408.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43936.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52896.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41984.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41440.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53920.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47616.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=33280.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45504.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57888.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54112.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46912.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46400.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=38080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42752.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41088.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46432.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49056.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44992.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45216.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43232.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46784.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53600.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57952.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=59392.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46464.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44192.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48672.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44000.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44640.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=27024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50560.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44928.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47872.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49536.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39584.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44224.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46656.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51840.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46016.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46592.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40384.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46720.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44576.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40864.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46720.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40736.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48096.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39616.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50304.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46176.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43648.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49376.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46080.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45568.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=60544.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47008.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39328.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47264.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=57184.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43040.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52992.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42880.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49664.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=48512.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44896.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56032.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52800.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50208.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43424.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36352.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50272.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50624.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=62976.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45120.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50144.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=29968.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44832.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=36448.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49024.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40768.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40992.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45152.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45088.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50944.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51296.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47776.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40608.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=51552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=54848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=41824.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=40416.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=44480.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=55712.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50496.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45088.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=45728.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50848.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=42688.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39552.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=46336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=50048.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=39680.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=58336.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=49792.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=52704.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=56288.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=53312.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=47520.0
DEBUG: matmul_with_noise: delta_mean=inf, scale=0.000244, max_delta=43424.0
